# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/jewelry/silver-cage-fighter-ring,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-chain-and-bar-fringe-earrings?aid=1$fb$p481$c871$2825,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-chain-fringe-earrings,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-charm-bracelet?focus=comments,5,2.00,00:01:53,100.00%,0.00%
www.jewelmint.com/jewelry/silver-clover-hand-chain?aid=1$fb$p481$c871$2825,5,2.00,00:02:41,100.00%,0.00%
www.jewelmint.com/jewelry/silver-courtney-love-earrings,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-crest-hoops?focus=comments,5,17.80,00:41:05,100.00%,0.00%
www.jewelmint.com/jewelry/silver-cz-ring?inv=fbl_pd_10583_b0df2c92ca31f7dc60c57162e2555336,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-cz-ring?redir_ct=1,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-double-chain-ring,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-double-circle-bracelet?redir_ct=1,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-feathers-choker?aid=1$fb$p475$c1832$4356,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-feathers-choker?focus=comments&redir_ct=1,5,2.00,00:00:08,100.00%,0.00%
www.jewelmint.com/jewelry/silver-flower-chain-bracelet,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-infinity-knotted-hand-chain,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-joan-baez-earrings?aid=1$aff$p3722$c4682$8867,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/silver-karen-o-ring?aid=1$internal-email$p117$c3950$8820&userid=73861_530d73d7b80a42494f9cceb51ddc05a248e5adc6,5,1.00,00:00:00,100.00%,100.00%
