# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/login,"93,858",5.42,00:04:08,100.00%,14.66%
www.jewelmint.com/,"91,741",8.79,00:05:36,100.00%,27.68%
start.jewelmint.com/k/scion/N/N?aid=1$fb$p481$c4418$8586,"86,537",2.11,00:00:13,100.00%,0.99%
www.jewelmint.com/showroom,"14,801",4.20,00:03:54,100.00%,28.28%
start.jewelmint.com/k/scion/N/N?aid=1$sem$p1466$c2092$4678,"12,634",2.20,00:00:25,100.00%,0.04%
start.jewelmint.com/k/scion/N/N?ref=s2d?aid=1$fb$p481$c4418$8586,"11,043",2.11,00:00:12,100.00%,0.63%
start.jewelmint.com/b-jm/?aid=1$sem$p1466$c2092$4678,"7,301",1.20,00:00:29,100.00%,87.33%
www.jewelmint.com/?aid=1$sem$p1466$c2092$4678,"6,739",10.97,00:07:09,100.00%,19.47%
start.jewelmint.com/k/scion/N/N?ref=s2d&aid=1$fb$p481$c4421$8589,"6,531",2.13,00:00:13,100.00%,0.54%
www.jewelmint.com/style-profile,"3,096",8.15,00:04:13,100.00%,25.52%
www.jewelmint.com/our-designs,"2,222",6.06,00:04:14,100.00%,25.29%
start.jewelmint.com/k/fbbib/shop?fboffer=FACEBOOK50&aid=1$fb$p3544$c4476$8650,"1,928",2.48,00:01:33,100.00%,52.59%
www.jewelmint.com/how-it-works,"1,511",5.87,00:03:44,100.00%,37.86%
www.jewelmint.com/pages/jm-categories-allinone/?view=necklaces&filter=show_all,"1,312",1.36,00:00:42,100.00%,85.59%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=1021371350526130712,"1,233",1.01,00:00:00,100.00%,98.78%
start.jewelmint.com/k/scion/N/N?ref=s2d&aid=1$fb$p481$c4418$8586,"1,128",2.07,00:00:01,100.00%,0.44%
www.jewelmint.com/collections/jm-whats-new-all,"1,069",2.71,00:06:22,100.00%,58.56%
www.jewelmint.com/collections/jewelmintsale,974,2.24,00:02:07,100.00%,66.84%
www.jewelmint.com/checkout,890,2.56,00:02:09,100.00%,55.84%
